framed,round_nr,PU_emp,QL_emp
0,1710,0.185714286,0.014285714
0,1711,0.971428571,0.071428571
0,1712,0.228571429,0
0,1713,0.485714286,0.457142857
0,1714,0.785714286,0.428571429
0,172,0.742857143,0.185714286
0,173,0.028571429,0
0,174,0.542857143,0.042857143
0,176,0.071428571,0.085714286
0,177,0.114285714,0.128571429
0,178,0.485714286,0.157142857
0,179,0.171428571,0.071428571
0,181,0.057142857,0.028571429
0,1810,0.314285714,0.028571429
0,1811,0.585714286,0.142857143
0,1812,0.071428571,0
0,1813,0.414285714,0.142857143
0,1814,0.314285714,0.228571429
0,182,0.014285714,0.028571429
0,183,0.242857143,0.071428571
0,184,0.342857143,0.114285714
0,185,0.457142857,0.214285714
0,186,0.1,0.128571429
0,187,0,0
0,188,0.257142857,0.028571429
0,189,0.871428571,0.014285714
1,151,0.014285714,0.014285714
1,1510,0.428571429,0.014285714
1,1511,0,0.014285714
1,1512,0.471428571,0
1,1513,0.728571429,0.585714286
1,1514,0.8,0.014285714
1,152,0.971428571,0.057142857
1,153,0.671428571,0.357142857
1,154,0,0
1,155,0.042857143,0.185714286
1,156,0.585714286,0.342857143
1,157,0.985714286,0
1,158,0.014285714,0
1,159,0.371428571,0.185714286
1,1610,0.4,0
1,1611,0.742857143,0.114285714
1,1612,0.657142857,0.385714286
1,1613,0.414285714,0
1,163,0.171428571,0.028571429
1,164,0.028571429,0.028571429
1,165,0.685714286,0.285714286
1,167,0.785714286,0.242857143
1,168,0.671428571,0.171428571
1,169,0.414285714,0.228571429