Sample Size N,PU,QL,Q,Hue
1,0.5,0.5,0.366,Framed
2,0.475,0.276,0.141,Framed
3,0.44,0.176,0.045,Framed
4,0.349,0.18,0.12,Framed
5,0.367,0.25,0.148,Framed
6,0.406,0.225,0.105,Framed
7,0.381,0.185,0.094,Framed
8,0.334,0.194,0.139,Framed
9,0.292,0.211,0.185,Framed
10,0.332,0.203,0.145,Framed
11,0.355,0.192,0.12,Framed
12,0.324,0.2,0.151,Framed
1,0.5,0.5,0.423,Unframed
2,0.475,0.276,0.215,Unframed
3,0.44,0.176,0.12,Unframed
4,0.349,0.18,0.072,Unframed
5,0.367,0.25,0.144,Unframed
6,0.406,0.225,0.133,Unframed
7,0.381,0.185,0.087,Unframed
8,0.334,0.194,0.086,Unframed
9,0.292,0.211,0.114,Unframed
10,0.332,0.203,0.095,Unframed
11,0.355,0.192,0.084,Unframed
12,0.324,0.2,0.093,Unframed