EQConcept,ED,Framed,STMOD
NE,0.284663245,Framed,Standard
QRE,0.080188651,Framed,Standard
PSE,0.073422926,Framed,Standard
ASE,0.045078729,Framed,Standard
IBE,0.012962658,Framed,Standard
NE,0.199700899,Unframed,Standard
IBE,0.136030759,Unframed,Standard
PSE,0.103148862,Unframed,Standard
QRE,0.087078634,Unframed,Standard
ASE,0.071931834,Unframed,Standard
"NE◦IA(α,β)",0.284663246,Framed,Modified
"IBE2◦IA(α,β)",0.007397652,Framed,Modified
IBEγ,0.003400695,Framed,Modified
"IBE◦IA(α,β)",4.03E-05,Framed,Modified
"IBEγ◦IA(α,β)",1.37E-05,Framed,Modified
"NE◦IA(α,β)",0.195996032,Unframed,Modified
IBEγ,0.114746812,Unframed,Modified
"IBE◦IA(α,β)",0.0654127,Unframed,Modified
"IBE2◦IA(α,β)",0.01028968,Unframed,Modified
"IBEγ◦IA(α,β)",1.87E-05,Unframed,Modified